,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,province_id,variety_numerical,vintage,norm_vintage,norm_price,norm_points,total_fires,sum_fire_size
8426,23650,84316,87633,US,"This impressively bold, dry wine could have been labeled as a varietal Syrah. It needs to pair with big chunks of meat or cheese. Concentrated blueberry, dark chocolate and blackberry combine with firm tannins and light spices from oak aging.",Grande Violette,90,20.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Naggiar 2014 Grande Violette Red (Sierra Foothills),Red Blend,Naggiar,7,473,2014,0.011408730158730158,0.00745156482861401,0.101010101010101,33,32.27000000000001
8427,23651,84317,87634,US,"A dryness of tannin leans into bitter notes of tobacco before mellowing on the palate to allow for crisper, more balanced aspects of cranberry, currant and plum to weigh in. A lightness to the palate belies this wine's ripeness.",Exposure,90,100.0,California,Oakville,Napa,Virginie Boone,@vboone,Oakville East 2013 Exposure Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Oakville East,7,80,2013,0.010912698412698412,0.047193243914555386,0.101010101010101,0,0.0
8428,23653,84324,87641,US,"In a field of sometimes tough wines, this one is remarkably approachable, smooth and delicious, not to mention a great value. Fermented by native yeast, it has wonderful spicy, plummy aromas, a generous and melting texture, and deep but mellow plum, prune and milk-chocolate flavors.",Grower's Selection,90,15.0,California,Clarksburg,Central Valley,Jim Gordon,@gordone_cellars,The Crusher 2013 Grower's Selection Petite Sirah (Clarksburg),Petite Sirah,The Crusher,7,419,2013,0.010912698412698412,0.004967709885742673,0.101010101010101,0,0.0
8429,23655,84329,87646,US,"This producer remains committed to showcasing this rare variety, making this 100% version of it from 40-plus-year-old dry-farmed vines. He lets the grapes hang out sur lie for five months in mostly stainless steel, with a small amount of neutral French oak. The result presents as full bodied, though the ripeness is restrained, a celebration of apple, vanilla, spicy lemongrass and robust minerality.",Old Vines,90,20.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Y Rousseau 2015 Old Vines Colombard (Russian River Valley),Colombard,Y Rousseau,7,148,2015,0.011904761904761904,0.00745156482861401,0.101010101010101,0,0.0
8430,23657,84334,87651,US,"Coming from Cerro Prieto Vineyard, one of the few places to grow Pinot Noir in this appellation, this bottling shows aromas of clove, vanilla, sandalwood and pomegranate on the nose. Light pomegranate and tart red-fruit flavors dominate the palate, with a touch of dried herb.",Deadbeat,89,35.0,California,Paso Robles Willow Creek District,Central Coast,Matt Kettmann,@mattkettmann,Pulchella 2014 Deadbeat Pinot Noir (Paso Robles Willow Creek District),Pinot Noir,Pulchella,7,440,2014,0.011408730158730158,0.01490312965722802,0.09090909090909093,0,0.0
8431,23658,84345,87662,US,"A blend of 53% Cabernet Sauvignon, 24% Malbec and 23% Syrah, this wine displays a strong tannic backbone, a burly strength of character and deep, dark black fruit. The Malbec shows in notes of dark chocolate and blueberry, while the Syrah peeks in with a touch of gaminess. All in all, there's elegance alongside the power.",19 Block Mountain Cuvée,88,38.0,California,Mount Veeder,Napa,Virginie Boone,@vboone,Hess 2011 19 Block Mountain Cuvée Red (Mount Veeder),Red Blend,Hess,7,473,2011,0.00992063492063492,0.016393442622950817,0.08080808080808081,0,0.0
8432,23660,84351,87668,US,"Initially dense and brooding, this wine reveals lightly etched layers of cherry and strawberry on the palate. Just the right accent of earthy dirt and stone round out the finish.",Estate Grown Proprietor's Reserve,88,45.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Kastania 2012 Estate Grown Proprietor's Reserve Pinot Noir (Sonoma Coast),Pinot Noir,Kastania,7,440,2012,0.010416666666666666,0.01987083954297069,0.08080808080808081,93,89.66000000000004
8433,23661,84353,87670,US,"Coming from 100-year-old vines, this fascinating wine shows black cherry, spearmint, graphite and pencil lead on the restrained nose. The palate is all about dried cherries and the tart skins of plum and other red-purple fruits, keeping a nice sour tension throughout the sip.",Lopez Ranch Old VIne,88,38.0,California,Cucamonga Valley,South Coast,Matt Kettmann,@mattkettmann,Lorenzi Estate 2011 Lopez Ranch Old VIne Zinfandel (Cucamonga Valley),Zinfandel,Lorenzi Estate,7,702,2011,0.00992063492063492,0.016393442622950817,0.08080808080808081,0,0.0
8434,23663,84381,87703,US,"Elderberry and blueberry fruit meet with an interesting eucalyptus oil and spearmint component on the nose of this bottling. The minty charatcer shows strongly on the palate, with camphor tones decorating the black-plum fruit.",The Cave Reserve,86,100.0,California,Temecula Valley,South Coast,Matt Kettmann,@mattkettmann,Oak Mountain 2011 The Cave Reserve Cabernet Sauvignon (Temecula Valley),Cabernet Sauvignon,Oak Mountain,7,80,2011,0.00992063492063492,0.047193243914555386,0.060606060606060615,0,0.0
8435,23664,84382,87704,US,"With a pale coral color and flavors like strawberry and watermelon, this wine is bright and appealing. It is medium bodied and has a hint of sweetness.",Inspire,86,21.0,California,North Coast,North Coast,Jim Gordon,@gordone_cellars,Peace Water 2015 Inspire Rosé (North Coast),Rosé,Peace Water,7,492,2015,0.011904761904761904,0.007948335817188276,0.060606060606060615,0,0.0
