Mean Temperature Observations for Central Coast (Climate Region) (Period: 12-month periods ending in December)
Year,Mean_Temperature_deg_F,Running_Mean
1895,56.2227006306455,
1896,57.284010501665016,
1897,56.25681513171051,
1898,56.59120482737,
1899,56.6909874069485,
1900,57.79418172928999,56.886246758153
1901,56.982762610391,57.02847641703133
1902,55.93203466540401,56.9998560004655
1903,56.9542668257645,56.97456226448409
1904,57.94627521939051,56.90628065648709
1905,57.093474791103496,56.903435735526365
1906,57.787226878306996,56.711716674633365
1907,56.96918591944101,56.653843202378965
1908,55.97858403591499,56.75466224285301
1909,55.84010713940301,56.804956551691596
1910,56.659693276380494,56.746081550604366
1911,55.685272059466996,56.622903265823
1912,56.3461544155925,56.531044501758494
1913,57.04104411061849,56.543287150026366
1914,57.507504222989006,56.53265116856887
1915,57.298650207430995,56.55298806680299
1916,55.73851365850849,56.61177225373536
1917,56.776780473597505,56.67484635661304
1918,57.103855050387494,56.716337475050544
1919,55.8615882398825,56.69055882742509
1920,56.063813019978504,56.66662614694359
1921,57.3063193326365,56.773393239614
1922,56.3790871911215,56.88984644761877
1923,56.80255671840499,56.94166290957596
1924,56.7574789867385,56.95939180488677
1925,57.2442447376925,57.07418725731909
1926,58.473088226805515,57.278369648429
1927,57.01949894656101,57.23965383507814
1928,57.346761555126506,57.23137069803595
1929,57.2988728988065,57.434711608991414
1930,57.124338216638,57.425126238912505
1931,58.3098193221875,57.53603361063774
1932,56.880445385777,57.40563846149832
1933,56.2879726836575,57.41952176890686
1934,59.039306738914995,57.46241586932177
1935,56.652039915870496,57.59147536081482
1936,58.464225826669995,57.70097621950592
1937,57.03874158627199,57.56961162808005
1938,57.172215328054996,57.65658956762572
1939,57.818596659690506,57.687736912636865
1940,58.718527305230005,57.511878527159276
1941,58.32884766224,57.481581067486324
1942,56.864808816503,57.412128241642314
1943,57.837202720779494,57.31413702760304
1944,56.63059347878001,57.21946800595699
1945,57.1048644986615,57.198076579764226
1946,56.31876785946799,56.99632667471969
1947,57.70024474238601,56.80815775110378
1948,55.96083823183999,56.822656128557135
1949,56.13085608994849,56.75690708410605
1950,57.58329097157,56.67822507551177
1951,56.49927834974,56.641814360392715
1952,56.258989502465006,56.762526450155406
1953,57.02429096849,56.88448166558437
1954,57.11396323181751,57.14526317828559
1955,55.76509138424299,57.22971610027755
1956,56.70434663235199,57.222859243618316
1957,57.6466008468575,57.228240547328944
1958,59.0417521121045,57.288821714525824
1959,58.8294348715535,57.223835562580454
1960,57.05983823186,57.190608291168495
1961,57.50786554831851,57.34222049346499
1962,56.558472690557004,57.4121605252149
1963,56.9253823416305,57.415992075106445
1964,56.309443297091015,57.25605701012232
1965,56.748463246286,57.13148653582263
1966,57.4328256095045,57.04459702118409
1967,57.473686981601,57.029390662217544
1968,57.6887478956645,57.08809625928282
1969,57.282466397279016,57.102619559915006
1970,57.459159654257,57.10057037872127
1971,56.10405357083601,57.22208202798118
1972,57.34059559968651,57.266726033258536
1973,57.204234258275,57.33309530295963
1974,57.0851386485845,57.36835953276077
1975,56.28690230396,57.460640756540414
1976,58.085091388144996,57.57455338086295
1977,57.9239096675555,57.64736869800323
1978,58.203748948313,57.79359931148628
1979,58.076654423477,57.94145912691909
1980,58.29755985885501,57.98210227203106
1981,58.712198521805,58.19808622892287
1982,56.905022059379,58.194772534586406
1983,58.949132348,58.23645339654486
1984,58.83069222803599,58.22855805676359
1985,57.532213244816006,58.22039036995414
1986,58.662725829770004,58.159571139576634
1987,58.04864075044399,58.235301183138496
1988,58.38239914909851,58.40550630072077
1989,58.116900210719,58.259598834162645
1990,57.986809868573005,58.29696065658255
1991,57.6285483247025,58.466242932224276
1992,59.54522900098551,58.55462920238681
1993,58.777278352784,58.48030471815446
1994,57.3441502158605,58.343995607338044
1995,59.241672274655,58.338789533799506
1996,59.394318276875005,58.34244652354235
1997,59.634974801557995,58.36851986296576
1998,57.23107142388799,58.31981493629709
1999,56.882998930118,58.311970971491135
2000,58.059633401795,58.42029459461382
2001,58.0270367557445,58.31449407785695
2002,57.91535505836001,58.17330786693363
2003,59.00947480763,58.05043000223627
2004,58.6909947399185,58.14456464709322
2005,58.535710070209994,58.17547775092931
2006,58.0778665903295,58.08304975298668
2007,57.8412699567185,58.10667990996773
2008,58.283318289887,58.176713234854724
2009,58.2665525173145,58.363788480460194
2010,57.223043072314994,58.5028156494406
2011,57.042925424425995,58.54596855644777
2012,58.286968482536,58.68558964497679
2013,58.68572163211701,58.777157694685435
2014,61.06730250929001,
2015,60.220293598702995,
2016,59.01039204728901,
2017,59.613698564148685,
2018,58.84851850351365,
